Payout_Ref,Gross_Amount,Gateway_Fee,Net_Payout,Settlement_Date
TXN-10001,1250.00,25.00,1225.00,2026-08-01
TXN-10002,340.50,6.80,333.70,2026-08-02
TXN-10003,890.00,17.80,872.20,2026-08-03
TXN-10004,2100.00,42.00,2058.00,2026-08-04
TXN-10005,450.00,9.00,441.00,2026-08-05
TXN-10006,780.00,15.60,764.40,2026-08-06
TXN-10007,150.00,3.00,147.00,2026-08-07
TXN-10008,920.00,18.40,901.60,2026-08-08
TXN-10009,610.00,12.20,597.80,2026-08-09
TXN-10010,1850.00,37.00,1813.00,2026-08-10
TXN-10011,320.00,6.40,313.60,2026-08-11
TXN-10012,1100.00,22.00,1078.00,2026-08-12
TXN-10013,490.00,9.80,480.20,2026-08-13
TXN-10014,750.00,15.00,735.00,2026-08-14
TXN-10015,2250.00,45.00,2205.00,2026-08-15
