Posting_Date,Bank_Reference,Credit_Amount,Debit_Amount,Running_Balance,Narration
2026-08-01,TXN-10001,1250.00,,45250.00,ACH CR STRIPE PAYOUT
2026-08-02,TXN-10002,340.50,,45590.50,ACH CR RAZORPAY
2026-08-03,TXN-10003,890.00,,46480.50,DIRECT DEPOSIT
2026-08-04,TXN-10004,2100.00,,48580.50,WIRE TRANSFER IN
2026-08-05,TXN-10005,450.00,,49030.50,SETTLEMENT PAYOUT
2026-08-06,TXN-10006,780.00,,49810.50,CHECK DEPOSIT
2026-08-07,TXN-10007,150.00,,49960.50,ACH DEPOSIT
2026-08-08,TXN-10008,920.00,,50880.50,PAYPAL TRANSFER
2026-08-09,TXN-10009,610.00,,51490.50,MERCHANT BATCH
2026-08-10,TXN-10010,1850.00,,53340.50,WIRE IN
2026-08-11,TXN-10011,320.00,,53660.50,CREDIT CARD SETTLEMENT
2026-08-12,TXN-10012,1100.00,,54760.50,ACH PAYOUT
2026-08-13,TXN-10013,490.00,,55250.50,GATEWAY TRANSFER
2026-08-14,TXN-10014,750.00,,56000.50,DIRECT SETTLEMENT
2026-08-15,TXN-10015,2250.00,,58250.50,CORPORATE WIRE
